Pressure,Temperature,Salinity,Oxygen,Transmissometer,Biospherical PAR,Fluorometer ,Wetlabs OBS
116,9.467,34.648,281.54,98.76,2.2,0.39320001,0
117,9.468,34.649,281.41,98.79,2.14,0.3935626,0
118,9.469,34.649,281.38,98.79,2.09,0.394857593,0
119,9.468,34.649,281.3,98.8,2.02,0.4005,0
120,9.468,34.648,281.11,98.82,1.96,0.379363006,0
121,9.466,34.649,280.91,98.81,1.89,0.369577675,0
122,9.466,34.648,280.93,98.81,1.84,0.384309499,0
123,9.462,34.647,280.84,98.81,1.79,0.385471652,0
124,9.463,34.648,280.77,98.8,1.73,0.386310061,0
125,9.46,34.647,280.78,98.79,1.64,0.387580107,0
126,9.458,34.647,280.78,98.79,1.56,0.38883603,0
127,9.456,34.646,280.77,98.78,1.48,0.390091953,0
128,9.454,34.646,280.77,98.78,1.4,0.391347875,0
129,9.451,34.645,280.76,98.77,1.31,0.392782744,0
130,9.45,34.645,280.8,98.77,1.25,0.39320001,0
131,9.448,34.644,280.79,98.78,1.22,0.397152832,0
132,9.447,34.644,280.82,98.77,1.19,0.399891168,0
133,9.446,34.644,280.9,98.77,1.15,0.3957177,0
134,9.447,34.644,280.89,98.77,1.1,0.398282245,0
135,9.448,34.644,280.89,98.77,1.06,0.399891773,0
136,9.448,34.644,280.89,98.76,1.01,0.4015013,0
137,9.449,34.644,280.89,98.76,0.97,0.403110828,0
138,9.449,34.645,280.9,98.76,0.92,0.404310892,0
139,9.45,34.645,280.88,98.75,0.88,0.407372684,0
140,9.449,34.644,280.83,98.76,0.85,0.411377751,0
141,9.449,34.644,280.98,98.77,0.83,0.408512219,0
142,9.449,34.644,281.12,98.77,0.81,0.404755349,0
143,9.449,34.644,281.27,98.77,0.79,0.400644818,0
144,9.45,34.645,281.21,98.77,0.77,0.41450658,0
145,9.45,34.644,281.26,98.76,0.75,0.427007299,0
146,9.453,34.645,281.34,98.77,0.73,0.416080829,0
147,9.454,34.645,281.34,98.76,0.72,0.396821037,0
148,9.455,34.645,281.25,98.77,0.7,0.398889779,0
149,9.454,34.645,281.16,98.77,0.66,0.398685471,0
150,9.454,34.645,281.06,98.77,0.62,0.3970458,0
151,9.454,34.645,280.95,98.77,0.58,0.394932477,0
152,9.449,34.644,280.85,98.77,0.54,0.392710094,0
153,9.447,34.644,280.9,98.78,0.5,0.40696396,0
154,9.454,34.645,280.93,98.77,0.48,0.408551375,0
