Date,Time,Channel,User,Sensor_Name,delta_t,Time_Unit,Value,Mode,Phase,Phase_Unit,Amplitude,Temp,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,O2Cal2nd,Cal2nd,Cal2nd_Unit,T2nd,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent
10/02/2018,10:06:04,2,Svenja,Sensor 3,0,min,179.828,Humid,27.408,deg,278189,10.636,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:06:07,2,Svenja,Sensor 3,0.048,min,177.471,Humid,27.551,deg,279791,10.684,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:06:09,2,Svenja,Sensor 3,0.076,min,176.307,Humid,27.633,deg,280699,10.679,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:06:10,2,Svenja,Sensor 3,0.103,min,175.284,Humid,27.706,deg,281500,10.673,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:06:37,2,Svenja,Sensor 3,0.543,min,166.267,Humid,28.354,deg,289535,10.666,1024,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:06:39,2,Svenja,Sensor 3,0.571,min,165.794,Humid,28.395,deg,289948,10.649,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:06:40,2,Svenja,Sensor 3,0.596,min,165.256,Humid,28.429,deg,290335,10.665,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:06:42,2,Svenja,Sensor 3,0.623,min,164.855,Humid,28.459,deg,290699,10.665,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:07:09,2,Svenja,Sensor 3,1.074,min,174.244,Humid,27.779,deg,283157,10.672,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:07:10,2,Svenja,Sensor 3,1.102,min,173.978,Humid,27.808,deg,283393,10.643,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/02/2018,10:07:12,2,Svenja,Sensor 3,1.128,min,173.838,Humid,27.826,deg,283635,10.621,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
