Date,Time,Channel,User,Sensor_Name,delta_t,Time_Unit,Value,Mode,Phase,Phase_Unit,Amplitude,Temp,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,O2Cal2nd,Cal2nd,Cal2nd_Unit,T2nd,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent
10/01/2018,16:09:36,2,Svenja,Sensor 3,0,min,219.819,Humid,24.922,deg,221606,10.856,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:09:38,2,Svenja,Sensor 3,0.039,min,219.988,Humid,24.919,deg,221566,10.838,1022,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:09:41,2,Svenja,Sensor 3,0.074,min,219.982,Humid,24.92,deg,221506,10.836,1022,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:09:43,2,Svenja,Sensor 3,0.11,min,219.887,Humid,24.918,deg,221456,10.857,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:15,2,Svenja,Sensor 3,0.646,min,217.864,Humid,25.034,deg,223996,10.837,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:16,2,Svenja,Sensor 3,0.669,min,217.798,Humid,25.034,deg,223922,10.847,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:18,2,Svenja,Sensor 3,0.692,min,217.817,Humid,25.032,deg,223918,10.85,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:19,2,Svenja,Sensor 3,0.717,min,217.855,Humid,25.03,deg,223872,10.85,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:49,2,Svenja,Sensor 3,1.217,min,219.942,Humid,25.002,deg,224388,10.61,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:51,2,Svenja,Sensor 3,1.245,min,220.363,Humid,24.997,deg,224317,10.56,1022,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:53,2,Svenja,Sensor 3,1.274,min,219.885,Humid,24.995,deg,224244,10.638,1022,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:10:54,2,Svenja,Sensor 3,1.305,min,220.151,Humid,24.988,deg,224181,10.618,1022,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:11:16,2,Svenja,Sensor 3,1.656,min,216.632,Humid,25.178,deg,226605,10.619,1023,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:11:17,2,Svenja,Sensor 3,1.684,min,216.576,Humid,25.178,deg,226586,10.628,1022,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,16:11:19,2,Svenja,Sensor 3,1.713,min,216.78,Humid,25.175,deg,226577,10.605,1022,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
