Date,Time,Channel,User,Sensor_Name,delta_t,Time_Unit,Value,Mode,Phase,Phase_Unit,Amplitude,Temp,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,O2Cal2nd,Cal2nd,Cal2nd_Unit,T2nd,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent
09/29/2018,10:13:47,1,Svenja,Sensor 4,0,min,231.607,Humid,23.31,deg,308387,10.71,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:13:49,1,Svenja,Sensor 4,0.032,min,231.696,Humid,23.302,deg,308182,10.721,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:13:51,1,Svenja,Sensor 4,0.065,min,231.904,Humid,23.296,deg,308055,10.709,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:13:53,1,Svenja,Sensor 4,0.102,min,232.033,Humid,23.285,deg,307949,10.723,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:14,1,Svenja,Sensor 4,0.448,min,231.794,Humid,23.297,deg,308181,10.722,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:16,1,Svenja,Sensor 4,0.484,min,231.587,Humid,23.311,deg,308373,10.71,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:18,1,Svenja,Sensor 4,0.518,min,231.077,Humid,23.335,deg,308684,10.713,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:20,1,Svenja,Sensor 4,0.553,min,230.79,Humid,23.352,deg,309063,10.704,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:42,1,Svenja,Sensor 4,0.919,min,225.441,Humid,23.613,deg,316085,10.716,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:44,1,Svenja,Sensor 4,0.943,min,225.693,Humid,23.602,deg,315800,10.711,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:45,1,Svenja,Sensor 4,0.972,min,225.841,Humid,23.594,deg,315598,10.713,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:14:47,1,Svenja,Sensor 4,1.003,min,225.98,Humid,23.588,deg,315486,10.71,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:07,1,Svenja,Sensor 4,1.334,min,226.21,Humid,23.575,deg,316768,10.715,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:09,1,Svenja,Sensor 4,1.37,min,226.07,Humid,23.576,deg,316692,10.733,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:11,1,Svenja,Sensor 4,1.406,min,225.65,Humid,23.601,deg,316971,10.721,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:13,1,Svenja,Sensor 4,1.44,min,225.023,Humid,23.629,deg,317398,10.732,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:34,1,Svenja,Sensor 4,1.788,min,225.502,Humid,23.607,deg,316693,10.725,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:37,1,Svenja,Sensor 4,1.828,min,224.958,Humid,23.63,deg,316897,10.738,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:39,1,Svenja,Sensor 4,1.868,min,224.696,Humid,23.65,deg,317210,10.718,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:15:42,1,Svenja,Sensor 4,1.909,min,224.25,Humid,23.668,deg,317481,10.732,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:16:39,1,Svenja,Sensor 4,2.858,min,225.19,Humid,23.624,deg,317339,10.721,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:16:41,1,Svenja,Sensor 4,2.905,min,225.564,Humid,23.603,deg,316969,10.728,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:16:44,1,Svenja,Sensor 4,2.948,min,225.877,Humid,23.588,deg,316691,10.726,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:16:46,1,Svenja,Sensor 4,2.985,min,226.047,Humid,23.575,deg,316537,10.739,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:18:02,1,Svenja,Sensor 4,4.246,min,229.117,Humid,23.427,deg,313886,10.725,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:18:04,1,Svenja,Sensor 4,4.279,min,229.185,Humid,23.416,deg,313590,10.748,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:18:06,1,Svenja,Sensor 4,4.311,min,229.361,Humid,23.41,deg,313409,10.74,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:18:08,1,Svenja,Sensor 4,4.347,min,229.27,Humid,23.417,deg,313466,10.733,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
09/29/2018,10:18:48,1,Svenja,Sensor 4,5.011,min,224.578,Humid,23.651,deg,319268,10.733,1010,hPa,35,pmil,0,55.39,deg,20,93,21.71,deg,20,979,hPa,0.831,-0.00929,0.000343,-0.00019,0,14.7,Humid,78.75,0,6
