Date,Time,Channel,User,Sensor_Name,delta_t,Time_Unit,Value,Mode,Phase,Phase_Unit,Amplitude,Temp,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,O2Cal2nd,Cal2nd,Cal2nd_Unit,T2nd,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent
10/01/2018,4:10:49,2,Svenja,Sensor 3,0,min,158.154,Humid,28.863,deg,209906,10.948,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:10:55,2,Svenja,Sensor 3,0.097,min,150.868,Humid,29.441,deg,214505,10.954,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:11:00,2,Svenja,Sensor 3,0.182,min,146.082,Humid,29.842,deg,217680,10.945,1014,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:11:06,2,Svenja,Sensor 3,0.277,min,142,Humid,30.197,deg,220503,10.931,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:11:55,2,Svenja,Sensor 3,1.09,min,101.733,Humid,34.292,deg,253209,10.951,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:12:00,2,Svenja,Sensor 3,1.174,min,99.981,Humid,34.51,deg,254888,10.932,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:12:05,2,Svenja,Sensor 3,1.265,min,98.576,Humid,34.681,deg,256224,10.933,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:12:10,2,Svenja,Sensor 3,1.348,min,97.629,Humid,34.794,deg,257212,10.944,1014,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:13:10,2,Svenja,Sensor 3,2.343,min,83.63,Humid,36.642,deg,272870,10.937,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:13:14,2,Svenja,Sensor 3,2.42,min,83.03,Humid,36.728,deg,273615,10.933,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:13:19,2,Svenja,Sensor 3,2.502,min,82.601,Humid,36.791,deg,274214,10.927,1014,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:13:23,2,Svenja,Sensor 3,2.567,min,82.299,Humid,36.833,deg,274682,10.929,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:14:21,2,Svenja,Sensor 3,3.536,min,142.567,Humid,30.158,deg,222899,10.903,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:14:26,2,Svenja,Sensor 3,3.606,min,142.836,Humid,30.125,deg,222760,10.93,1013,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,4:14:31,2,Svenja,Sensor 3,3.699,min,143.478,Humid,30.072,deg,222334,10.924,1014,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
